Month,Bobur Bog'i,Alisher Navoiy Milliy Bog'i,Botanika Bog',Toshkent Hayvonot Bog'i,Anhor Lokomotiv Bog'i
2021-01,4500,6000,3000,5500,5000
2021-01,5100,6500,2500,6230,5310
2021-03,7000,8000,5000,7500,7000
2021-04,9000,10000,7000,9500,8500
2021-05,10700,11350,10200,9500,7570
2021-05,13000,14000,11000,13500,12500
2021-06,13650,15200,12400,12500,13200
2021-07,13500,14500,11500,14000,13000
2021-08,12000,13000,10000,12500,11500
2021-09,10000,11000,8000,10500,9500
2021-10,7000,8000,5000,7500,6500
2021-11,6220,7300,3820,8200,5645
2021-12,5000,6500,3500,6000,5500
2022-01,6125,7110,3841,6600,5995
2022-02,7500,8500,5500,8000,7500
2022-03,9500,10500,7500,10000,9000
2022-05,10920,12770,8313,12547,11245
2022-06,11500,12500,9500,12000,11001
2022-07,11500,12500,9500,12000,11002
2022-08,11500,12500,9500,12000,11003
2022-09,10508,12300,9100,12090,11200
2022-10,11500,12500,9500,12000,11005
2022-11,12100,11900,9830,11900,10906
2022-12,11500,12500,9500,12000,11007
2023-01,12730,11590,9654,12313,11075
2023-02,11500,12500,9500,12000,11009
2023-03,10008,12101,9500,12000,14008
2023-04,8500,11500,7500,11000,11011
2023-05,11500,12500,9500,12000,11012
2023-06,13007,12100,9900,11988,11200
2023-07,11508,12509,9512,12045,11244
2023-08,11500,12500,9500,12000,11015
2023-08,10850,10760,9349,11158,11016
2023-09,11500,12500,9500,12000,11017
2023-10,10890,13120,10500,11980,10218
2023-11,11500,12500,9500,12000,11019
2023-12,11986,12145,7849,12145,10550
2024-01,11500,12500,9500,12000,11021
2024-02,12410,13150,9748,12266,11022
2024-03,11500,12500,9500,12000,11023
2024-04,10890,10100,10188,8800,10984
2024-05,11142,16870,9500,9800,10005
2024-06,9800,11750,9500,10004,11088
2024-07,12530,14500,12000,11780,11125
2024-08,9450,12020,9898,11785,10988
2024-09,12510,10900,11509,13125,12159
2024-10,10900,6807,9520,9900,10830
2024-11,11020,12500,9500,12420,11541
2024-12,9880,10015,9864,12080,11032
2025-01,11250,10300,8900,11500,11033
