joylashuv;xonalar;maydon;qavat;bino_qavati;narx
Yunusobod;3;57;4;4;52000
Yakkasaroy;2;52;4;5;56000
Chilonzor;2;42;4;4;37000
Chilonzor;3;65;1;4;49500
Chilonzor;3;70;3;5;55000
Chilonzor;1;28;1;4;25500
Chilonzor;1;30;2;4;21200
Yakkasaroy;2;32;5;5;20000
Uchtepa;2;51;3;4;26200
Chilonzor;1;30;1;4;22200
Uchtepa;2;30;2;5;24200
Chilonzor;3;67;2;5;30200
Chilonzor;1;30;2;4;21200
Chilonzor;1;30;2;4;21200
Chilonzor;1;30;2;4;21200
Chilonzor;1;35;1;5;22500
Chilonzor;1;43;4;4;22500
Chilonzor;2;51;2;4;21200
Mirzo Ulugbek;3;65;1;4;32500
Chilonzor;2;51;2;4;22200
Chilonzor;2;51;2;4;24200
Yakkasaroy;4;90;5;5;45000
Chilonzor;4;80;3;4;56000
Yashnobod;2;70;5;5;47000
Mirzo Ulugbek;3;69;1;4;49900
Mirobod;3;80;2;4;76000
Uchtepa;3;96;3;4;65000
Uchtepa;4;76;4;4;47500
Uchtepa;2;45;4;5;30000
Chilonzor;1;27;3;4;32000
Uchtepa;2;65;3;9;44000
Chilonzor;2;64;3;4;56500
Chilonzor;1;42;5;9;35000
Chilonzor;1;26;2;4;23500
Uchtepa;4;76;5;5;60500
Chilonzor;3;80;2;4;68000
Chilonzor;3;72;5;5;41500
Uchtepa;4;100;3;12;55000
Uchtepa;3;65;4;4;44000
Uchtepa;4;80;3;4;52500
Uchtepa;3;72;6;9;43000
Mirobod;2;65;1;4;80000
Yakkasaroy;2;63;1;5;42000
Yakkasaroy;2;48;5;9;23000
Yunusobod;3;70;3;4;47000
Yakkasaroy;3;102;7;12;88784
Uchtepa;4;78;2;4;65000
Chilonzor;4;100;1;4;97000
Chilonzor;1;34;1;4;28500
Chilonzor;2;42;2;4;34500
Uchtepa;4;80;4;5;51000
Uchtepa;3;90;1;12;51000
Chilonzor;2;45;2;4;48000
Chilonzor;3;70;5;5;40000
Chilonzor;4;96;7;9;67000
Uchtepa;4;80;4;5;68000
Uchtepa;2;63;1;4;40500
Uchtepa;2;56;4;5;54000
Uchtepa;2;52;1;4;36000
Uchtepa;3;98;2;4;68000
Chilonzor;3;96;9;9;63000
